id_data,data,ano,trimestre,mes,nome_mes,semana_ano,dia_semana,nome_dia,fim_semana
125,2022-05-05,2022,2,5,Maio,18,3,Quinta,0
126,2022-05-06,2022,2,5,Maio,18,4,Sexta,0
127,2022-05-07,2022,2,5,Maio,18,5,Sabado,1
128,2022-05-08,2022,2,5,Maio,18,6,Domingo,1
129,2022-05-09,2022,2,5,Maio,19,0,Segunda,0
130,2022-05-10,2022,2,5,Maio,19,1,Terca,0
131,2022-05-11,2022,2,5,Maio,19,2,Quarta,0
132,2022-05-12,2022,2,5,Maio,19,3,Quinta,0
133,2022-05-13,2022,2,5,Maio,19,4,Sexta,0
134,2022-05-14,2022,2,5,Maio,19,5,Sabado,1
135,2022-05-15,2022,2,5,Maio,19,6,Domingo,1
136,2022-05-16,2022,2,5,Maio,20,0,Segunda,0
137,2022-05-17,2022,2,5,Maio,20,1,Terca,0
138,2022-05-18,2022,2,5,Maio,20,2,Quarta,0
139,2022-05-19,2022,2,5,Maio,20,3,Quinta,0
140,2022-05-20,2022,2,5,Maio,20,4,Sexta,0
141,2022-05-21,2022,2,5,Maio,20,5,Sabado,1
142,2022-05-22,2022,2,5,Maio,20,6,Domingo,1
143,2022-05-23,2022,2,5,Maio,21,0,Segunda,0
144,2022-05-24,2022,2,5,Maio,21,1,Terca,0
145,2022-05-25,2022,2,5,Maio,21,2,Quarta,0
146,2022-05-26,2022,2,5,Maio,21,3,Quinta,0
147,2022-05-27,2022,2,5,Maio,21,4,Sexta,0
148,2022-05-28,2022,2,5,Maio,21,5,Sabado,1
149,2022-05-29,2022,2,5,Maio,21,6,Domingo,1
150,2022-05-30,2022,2,5,Maio,22,0,Segunda,0
151,2022-05-31,2022,2,5,Maio,22,1,Terca,0
152,2022-06-01,2022,2,6,Junho,22,2,Quarta,0
153,2022-06-02,2022,2,6,Junho,22,3,Quinta,0
154,2022-06-03,2022,2,6,Junho,22,4,Sexta,0
155,2022-06-04,2022,2,6,Junho,22,5,Sabado,1
156,2022-06-05,2022,2,6,Junho,22,6,Domingo,1
157,2022-06-06,2022,2,6,Junho,23,0,Segunda,0
158,2022-06-07,2022,2,6,Junho,23,1,Terca,0
159,2022-06-08,2022,2,6,Junho,23,2,Quarta,0
160,2022-06-09,2022,2,6,Junho,23,3,Quinta,0
161,2022-06-10,2022,2,6,Junho,23,4,Sexta,0
162,2022-06-11,2022,2,6,Junho,23,5,Sabado,1
